[00:00:00.000007177] (+?.?????????) init: { row = 35, col = 9 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 34, col = 9 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 32, col = 8 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 33, col = 8 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 34, col = 10 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 32, col = 11 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 34, col = 8 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 33, col = 10 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 33, col = 11 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 32, col = 10 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 32, col = 9 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 35, col = 8 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 34, col = 11 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 35, col = 11 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 33, col = 9 }, { }
[00:00:00.000007177] (+0.000000000) init: { row = 35, col = 10 }, { }
[00:00:00.000083258] (+0.000076081) epiphanious: { row = 32, col = 8 }, { sum = 0 }
[00:00:00.000083294] (+0.000000036) epiphanious: { row = 32, col = 9 }, { sum = 0 }
[00:00:00.000083330] (+0.000000036) epiphanious: { row = 32, col = 10 }, { sum = 0 }
[00:00:00.000083366] (+0.000000036) epiphanious: { row = 32, col = 11 }, { sum = 0 }
[00:00:00.000085562] (+0.000002196) epiphanious: { row = 33, col = 8 }, { sum = 0 }
[00:00:00.000085598] (+0.000000036) epiphanious: { row = 33, col = 9 }, { sum = 0 }
[00:00:00.000085634] (+0.000000036) epiphanious: { row = 33, col = 10 }, { sum = 0 }
[00:00:00.000085670] (+0.000000036) epiphanious: { row = 33, col = 11 }, { sum = 0 }
[00:00:00.000087866] (+0.000002196) epiphanious: { row = 34, col = 8 }, { sum = 0 }
[00:00:00.000087902] (+0.000000036) epiphanious: { row = 34, col = 9 }, { sum = 0 }
[00:00:00.000087938] (+0.000000036) epiphanious: { row = 34, col = 10 }, { sum = 0 }
[00:00:00.000087974] (+0.000000036) epiphanious: { row = 34, col = 11 }, { sum = 0 }
[00:00:00.000090170] (+0.000002196) epiphanious: { row = 35, col = 8 }, { sum = 0 }
[00:00:00.000090206] (+0.000000036) epiphanious: { row = 35, col = 9 }, { sum = 0 }
[00:00:00.000090242] (+0.000000036) epiphanious: { row = 35, col = 10 }, { sum = 0 }
[00:00:00.000090278] (+0.000000036) epiphanious: { row = 35, col = 11 }, { sum = 0 }
[00:00:00.000160141] (+0.000069863) epiphanious: { row = 32, col = 8 }, { sum = 1 }
[00:00:00.000160213] (+0.000000072) epiphanious: { row = 32, col = 9 }, { sum = 1 }
[00:00:00.000160285] (+0.000000072) epiphanious: { row = 32, col = 10 }, { sum = 1 }
[00:00:00.000160357] (+0.000000072) epiphanious: { row = 32, col = 11 }, { sum = 1 }
[00:00:00.000164749] (+0.000004392) epiphanious: { row = 33, col = 8 }, { sum = 1 }
[00:00:00.000164821] (+0.000000072) epiphanious: { row = 33, col = 9 }, { sum = 1 }
[00:00:00.000164893] (+0.000000072) epiphanious: { row = 33, col = 10 }, { sum = 1 }
[00:00:00.000164965] (+0.000000072) epiphanious: { row = 33, col = 11 }, { sum = 1 }
[00:00:00.000169357] (+0.000004392) epiphanious: { row = 34, col = 8 }, { sum = 1 }
[00:00:00.000169429] (+0.000000072) epiphanious: { row = 34, col = 9 }, { sum = 1 }
[00:00:00.000169501] (+0.000000072) epiphanious: { row = 34, col = 10 }, { sum = 1 }
[00:00:00.000169573] (+0.000000072) epiphanious: { row = 34, col = 11 }, { sum = 1 }
[00:00:00.000173965] (+0.000004392) epiphanious: { row = 35, col = 8 }, { sum = 1 }
[00:00:00.000174037] (+0.000000072) epiphanious: { row = 35, col = 9 }, { sum = 1 }
[00:00:00.000174109] (+0.000000072) epiphanious: { row = 35, col = 10 }, { sum = 1 }
[00:00:00.000174181] (+0.000000072) epiphanious: { row = 35, col = 11 }, { sum = 1 }
[00:00:00.000237054] (+0.000062873) epiphanious: { row = 32, col = 8 }, { sum = 3 }
[00:00:00.000237162] (+0.000000108) epiphanious: { row = 32, col = 9 }, { sum = 3 }
[00:00:00.000237270] (+0.000000108) epiphanious: { row = 32, col = 10 }, { sum = 3 }
[00:00:00.000237378] (+0.000000108) epiphanious: { row = 32, col = 11 }, { sum = 3 }
[00:00:00.000243966] (+0.000006588) epiphanious: { row = 33, col = 8 }, { sum = 3 }
[00:00:00.000244074] (+0.000000108) epiphanious: { row = 33, col = 9 }, { sum = 3 }
[00:00:00.000244182] (+0.000000108) epiphanious: { row = 33, col = 10 }, { sum = 3 }
[00:00:00.000244290] (+0.000000108) epiphanious: { row = 33, col = 11 }, { sum = 3 }
[00:00:00.000250878] (+0.000006588) epiphanious: { row = 34, col = 8 }, { sum = 3 }
[00:00:00.000250986] (+0.000000108) epiphanious: { row = 34, col = 9 }, { sum = 3 }
[00:00:00.000251094] (+0.000000108) epiphanious: { row = 34, col = 10 }, { sum = 3 }
[00:00:00.000251202] (+0.000000108) epiphanious: { row = 34, col = 11 }, { sum = 3 }
[00:00:00.000257790] (+0.000006588) epiphanious: { row = 35, col = 8 }, { sum = 3 }
[00:00:00.000257898] (+0.000000108) epiphanious: { row = 35, col = 9 }, { sum = 3 }
[00:00:00.000258006] (+0.000000108) epiphanious: { row = 35, col = 10 }, { sum = 3 }
[00:00:00.000258114] (+0.000000108) epiphanious: { row = 35, col = 11 }, { sum = 3 }
[00:00:00.000313976] (+0.000055862) epiphanious: { row = 32, col = 8 }, { sum = 6 }
[00:00:00.000314120] (+0.000000144) epiphanious: { row = 32, col = 9 }, { sum = 6 }
[00:00:00.000314264] (+0.000000144) epiphanious: { row = 32, col = 10 }, { sum = 6 }
[00:00:00.000314408] (+0.000000144) epiphanious: { row = 32, col = 11 }, { sum = 6 }
[00:00:00.000323192] (+0.000008784) epiphanious: { row = 33, col = 8 }, { sum = 6 }
[00:00:00.000323336] (+0.000000144) epiphanious: { row = 33, col = 9 }, { sum = 6 }
[00:00:00.000323480] (+0.000000144) epiphanious: { row = 33, col = 10 }, { sum = 6 }
[00:00:00.000323624] (+0.000000144) epiphanious: { row = 33, col = 11 }, { sum = 6 }
[00:00:00.000332408] (+0.000008784) epiphanious: { row = 34, col = 8 }, { sum = 6 }
[00:00:00.000332552] (+0.000000144) epiphanious: { row = 34, col = 9 }, { sum = 6 }
[00:00:00.000332696] (+0.000000144) epiphanious: { row = 34, col = 10 }, { sum = 6 }
[00:00:00.000332840] (+0.000000144) epiphanious: { row = 34, col = 11 }, { sum = 6 }
[00:00:00.000341624] (+0.000008784) epiphanious: { row = 35, col = 8 }, { sum = 6 }
[00:00:00.000341768] (+0.000000144) epiphanious: { row = 35, col = 9 }, { sum = 6 }
[00:00:00.000341912] (+0.000000144) epiphanious: { row = 35, col = 10 }, { sum = 6 }
[00:00:00.000342056] (+0.000000144) epiphanious: { row = 35, col = 11 }, { sum = 6 }
[00:00:00.000390889] (+0.000048833) epiphanious: { row = 32, col = 8 }, { sum = 10 }
[00:00:00.000391069] (+0.000000180) epiphanious: { row = 32, col = 9 }, { sum = 10 }
[00:00:00.000391249] (+0.000000180) epiphanious: { row = 32, col = 10 }, { sum = 10 }
[00:00:00.000391429] (+0.000000180) epiphanious: { row = 32, col = 11 }, { sum = 10 }
[00:00:00.000402409] (+0.000010980) epiphanious: { row = 33, col = 8 }, { sum = 10 }
[00:00:00.000402589] (+0.000000180) epiphanious: { row = 33, col = 9 }, { sum = 10 }
[00:00:00.000402769] (+0.000000180) epiphanious: { row = 33, col = 10 }, { sum = 10 }
[00:00:00.000402949] (+0.000000180) epiphanious: { row = 33, col = 11 }, { sum = 10 }
[00:00:00.000413929] (+0.000010980) epiphanious: { row = 34, col = 8 }, { sum = 10 }
[00:00:00.000414109] (+0.000000180) epiphanious: { row = 34, col = 9 }, { sum = 10 }
[00:00:00.000414289] (+0.000000180) epiphanious: { row = 34, col = 10 }, { sum = 10 }
[00:00:00.000414469] (+0.000000180) epiphanious: { row = 34, col = 11 }, { sum = 10 }
[00:00:00.000425449] (+0.000010980) epiphanious: { row = 35, col = 8 }, { sum = 10 }
[00:00:00.000425629] (+0.000000180) epiphanious: { row = 35, col = 9 }, { sum = 10 }
[00:00:00.000425809] (+0.000000180) epiphanious: { row = 35, col = 10 }, { sum = 10 }
[00:00:00.000425989] (+0.000000180) epiphanious: { row = 35, col = 11 }, { sum = 10 }
[00:00:00.000467808] (+0.000041819) epiphanious: { row = 32, col = 8 }, { sum = 15 }
[00:00:00.000468024] (+0.000000216) epiphanious: { row = 32, col = 9 }, { sum = 15 }
[00:00:00.000468240] (+0.000000216) epiphanious: { row = 32, col = 10 }, { sum = 15 }
[00:00:00.000468456] (+0.000000216) epiphanious: { row = 32, col = 11 }, { sum = 15 }
[00:00:00.000481632] (+0.000013176) epiphanious: { row = 33, col = 8 }, { sum = 15 }
[00:00:00.000481848] (+0.000000216) epiphanious: { row = 33, col = 9 }, { sum = 15 }
